File,Reading No,ID,AQ,Long,Latitude,Mn_K,Co_K,Ni_K,Zn_K,Mn,Co,Ni,Zn,xcoord,ycoord,density1,SoilType1
XL3-86715-richard,"3659",XL3-86715-richard-3659,"334431",151.417464400000000,-24.248553260000001,"408","0","0","0",Normal,Normal,Normal,Normal,1561423.91404755,7278328.16550893,3,"3"
XL3-86715-richard,"3737",XL3-86715-richard-3737,"334433",153.250792200000006,-28.081870810000002,"280","0","0","105",Normal,Normal,Normal,Normal,1708759.88284859,6832290.69014173,3,"3"
XL3-86715-richard,"3738",XL3-86715-richard-3738,"334434",152.941666700000013,-26.925000000000001,"201","0","0","533",Normal,Normal,Normal,Accumulator,1690684.08613739,6965145.19497344,3,"4"
XL3-86715-richard,"3685",XL3-86715-richard-3685,"334435",153.084115700000012,-25.915208839999998,"0","0","0","0",Normal,Normal,Normal,Normal,1715811.28337106,7077115.35923689,3,"13"
XL3-86715-richard,"3505",XL3-86715-richard-3505,"335086",152.947777800000011,-26.927499999999998,"218","0","0","0",Normal,Normal,Normal,Normal,1691271.7648441,6964805.83577996,3,"3"
XL3-86715-richard,"4145",XL3-86715-richard-4145,"335684",145.209181199999989,-16.440268230000001,"0","0","0","0",Normal,Normal,Normal,Normal,949689.60480275,8177682.68135367,3,"3"
XL3-86715-richard,"2732",XL3-86715-richard-2732,"335768",140.842833299999995,-18.173489379999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,483378.250367912,7990612.98420444,1,"1"
XL3-86715-richard,"3812",XL3-86715-richard-3812,"336646",153.209166699999997,-28.218611110000001,"285","0","0","0",Normal,Normal,Normal,Normal,1703051.80009647,6817373.53806072,3,"3"
XL3-86715-richard,"3405",XL3-86715-richard-3405,"336648",153.084120200000001,-26.748540420000001,"0","0","0","0",Normal,Normal,Normal,Normal,1706926.40191031,6983568.15875274,3,"3"
XL3-86715-richard,"3959",XL3-86715-richard-3959,"336649",153.091666699999990,-26.774999999999999,"344","0","0","0",Normal,Normal,Normal,Normal,1707400.28763366,6980525.1662153,3,"4"
XL3-86715-richard,"3841",XL3-86715-richard-3841,"336651",153.258333300000004,-24.708333329999999,"0","0","0","0",Normal,Normal,Normal,Normal,1746103.92040342,7211050.14756256,2,"10"
XL3-86715-richard,"2744",XL3-86715-richard-2744,"336733",142.917811999999998,-18.248477789999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,702769.002036678,7981260.55152297,2,"8"
XL3-86715-richard,"3744",XL3-86715-richard-3744,"337595",153.258333300000004,-24.708333329999999,"231","0","0","0",Normal,Normal,Normal,Normal,1746103.92040342,7211050.14756256,2,"10"
XL3-86715-richard,"3745",XL3-86715-richard-3745,"337595",153.258333300000004,-24.708333329999999,"231","0","0","0",Normal,Normal,Normal,Normal,1746103.92040342,7211050.14756256,2,"10"
XL3-86715-richard,"3757",XL3-86715-richard-3757,"337596",151.509150900000009,-28.040212720000000,"243","0","0","0",Normal,Normal,Normal,Normal,1536157.49309828,6853345.4885415,2,"2"
XL3-86715-richard,"3528",XL3-86715-richard-3528,"337597",153.209166699999997,-28.218611110000001,"0","0","0","125",Normal,Normal,Normal,Normal,1703051.80009647,6817373.53806072,3,"3"
XL3-86715-richard,"3766",XL3-86715-richard-3766,"337598",153.084119299999998,-26.581874079999999,"164","0","0","0",Normal,Normal,Normal,Normal,1708723.95385957,7002274.51178043,3,"9"
XL3-86715-richard,"3507",XL3-86715-richard-3507,"337620",153.210000000000008,-28.221388890000000,"471","0","0","0",Normal,Normal,Normal,Normal,1703102.70916894,6817053.45819013,3,"3"
XL3-86715-richard,"3506",XL3-86715-richard-3506,"337622",153.209166699999997,-28.218611110000001,"0","0","0","0",Normal,Normal,Normal,Normal,1703051.80009647,6817373.53806072,3,"3"
